title,author,genre,total_pages,status
Confessions of a Shopaholic,Sophie Kinsella,Comedy,,
All Fours,Miranda July,Contemporary,,
How to Solve Your Own Murder,Kristen Perrin,Mystery,,
Escape Velocity,Victor Manibo,Sci-Fi,,
The Emperor and the Endless Palace,Justinian Huang,Romance,,
A Crane Among Wolves,June Hur,Young Adult,,
Lies and Weddings,Kevin Kwan,Romance,,
Rednecks,Taylor Brown,Contemporary,,
Oye,Melissa Mongollon,Contemporary,,
Darling Girls,Sally Hepworth,Thriller,,
Home is Where the Bodies Are,Jeneva Rose,Thriller,,
I Cheerfully Refuse,Leif Enger,Sci-Fi,,
